unit,tra_meas,airp_pr\time	2018Q2 	2018Q1 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 
PAS,PAS_CRD_ARR,MK_LWSK_BE_EBCI	6679 	4745 	2268 	2347 	2064 	1691 	1316 	1738 
PAS,PAS_CRD_ARR,MK_LWSK_CH_LSZH	22394 	17577 	5805 	6323 	10266 	6800 	5247 	5530 
PAS,PAS_CRD_ARR,MK_LWSK_DE_EDDB	6743 	4665 	2487 	2099 	2157 	1706 	1294 	1665 
PAS,PAS_CRD_ARR,MK_LWSK_DE_EDDK	6944 	6622 	2615 	2242 	2087 	2287 	2038 	2297 
PAS,PAS_CRD_ARR,MK_LWSK_DE_EDFH	7243 	4458 	2854 	2372 	2017 	1534 	1304 	1620 
PAS,PAS_CRD_ARR,MK_LWSK_DE_EDJA	7299 	6219 	2779 	2428 	2092 	2224 	1989 	2006 
PAS,PAS_CRD_ARR,MK_LWSK_DE_EDLW	6791 	6449 	2327 	2410 	2054 	2287 	2022 	2140 
PAS,PAS_CRD_ARR,MK_LWSK_FR_LFSB	15136 	13137 	4881 	5040 	5215 	4874 	3979 	4284 
PAS,PAS_CRD_ARR,MK_LWSK_HR_LDZA	9734 	5598 	3500 	3505 	2729 	2150 	1807 	1641 
PAS,PAS_CRD_ARR,MK_LWSK_HU_LHBP	5490 	4617 	1898 	1931 	1661 	1957 	1453 	1207 
PAS,PAS_CRD_ARR,MK_LWSK_SE_ESGG	7833 	6428 	2957 	2191 	2685 	2454 	1965 	2009 
PAS,PAS_CRD_ARR,MK_LWSK_SE_ESMS	13272 	10132 	5884 	3261 	4127 	3763 	3144 	3225 
PAS,PAS_CRD_ARR,MK_LWSK_SI_LJLJ	6509 	4965 	2063 	2322 	2124 	2228 	1473 	1264 
PAS,PAS_CRD_ARR,MK_LWSK_SK_LZIB	8697 	8053 	3011 	2913 	2773 	2808 	2524 	2721 
PAS,PAS_CRD_ARR,MK_LWSK_TR_LTBA	21820 	17839 	7376 	7392 	7052 	6566 	5567 	5706 
PAS,PAS_CRD_ARR,MK_LWSK_TR_LTFJ	8430 	6383 	2691 	2791 	2948 	2275 	1909 	2199 
PAS,PAS_CRD_ARR,MK_LWSK_UK_EGGW	9677 	6475 	3472 	3019 	3186 	2540 	1923 	2012 
PAS,PAS_CRD_DEP,MK_LWSK_AT_LOWW	13696 	9763 	4732 	4943 	4021 	3791 	2795 	3177 
PAS,PAS_CRD_DEP,MK_LWSK_BE_EBCI	6406 	4835 	2041 	2329 	2036 	1647 	1318 	1870 
PAS,PAS_CRD_DEP,MK_LWSK_CH_LSZH	24519 	18260 	6362 	7916 	10241 	6155 	5357 	6748 
PAS,PAS_CRD_DEP,MK_LWSK_DE_EDDB	6824 	4877 	2426 	2208 	2190 	1659 	1505 	1713 
PAS,PAS_CRD_DEP,MK_LWSK_DE_EDDK	6815 	6571 	2484 	2227 	2104 	2166 	2025 	2380 
PAS,PAS_CRD_DEP,MK_LWSK_DE_EDFH	7192 	4501 	2721 	2406 	2065 	1468 	1319 	1714 
PAS,PAS_CRD_DEP,MK_LWSK_DE_EDJA	7353 	6616 	2762 	2491 	2100 	2330 	2023 	2263 
PAS,PAS_CRD_DEP,MK_LWSK_DE_EDLW	6699 	6577 	2218 	2382 	2099 	2357 	2004 	2216 
PAS,PAS_CRD_DEP,MK_LWSK_FR_LFSB	15373 	13568 	4894 	5372 	5107 	4554 	3867 	5147 
PAS,PAS_CRD_DEP,MK_LWSK_HR_LDZA	9167 	5499 	3198 	3195 	2774 	1996 	1734 	1769 
PAS,PAS_CRD_DEP,MK_LWSK_HU_LHBP	5518 	4669 	1701 	2053 	1764 	1829 	1510 	1330 
PAS,PAS_CRD_DEP,MK_LWSK_SE_ESGG	6760 	6601 	1808 	2249 	2703 	2360 	1899 	2342 
PAS,PAS_CRD_DEP,MK_LWSK_SE_ESMS	11060 	10390 	3288 	3452 	4320 	3481 	3134 	3775 
PAS,PAS_CRD_DEP,MK_LWSK_SI_LJLJ	6382 	5104 	1799 	2463 	2120 	1970 	1519 	1615 
PAS,PAS_CRD_DEP,MK_LWSK_SK_LZIB	8912 	8138 	3053 	3038 	2821 	2745 	2526 	2867 
PAS,PAS_CRD_DEP,MK_LWSK_TR_LTBA	20895 	18394 	6447 	7515 	6933 	6466 	5812 	6116 
PAS,PAS_CRD_DEP,MK_LWSK_TR_LTFJ	7859 	5861 	2499 	2810 	2550 	2072 	1791 	1998 
PAS,PAS_CRD_DEP,MK_LWSK_UK_EGGW	9501 	6844 	3097 	3007 	3397 	2327 	1997 	2520 
SEAT,ST_PAS,MK_LWSK_AT_LOWW	42098 	32908 	15454 	14084 	12560 	11387 	9746 	11775 
SEAT,ST_PAS,MK_LWSK_BE_EBCI	14040 	10440 	4680 	5040 	4320 	3600 	2880 	3960 
SEAT,ST_PAS,MK_LWSK_CH_LSZH	50458 	41268 	13484 	15932 	21042 	14296 	12718 	14254 
SEAT,ST_PAS,MK_LWSK_DE_EDDB	14640 	10212 	5280 	4680 	4680 	3600 	3012 	3600 
SEAT,ST_PAS,MK_LWSK_DE_EDDK	14280 	14040 	5280 	4680 	4320 	4680 	4320 	5040 
SEAT,ST_PAS,MK_LWSK_DE_EDFH	15440 	9720 	5980 	5140 	4320 	3240 	2880 	3600 
SEAT,ST_PAS,MK_LWSK_DE_EDJA	15440 	13680 	5980 	5140 	4320 	4860 	4320 	4500 
SEAT,ST_PAS,MK_LWSK_DE_EDLW	14040 	13860 	4680 	5040 	4320 	4860 	4320 	4680 
